Term,Dominant_Subject
h5p3o10,chemistry
hac,physics
haematite,chemistry
half,physics
halide,chemistry
halo,chemistry
haloform,chemistry
halogen,chemistry
hand,mathematics
hang,physics
hardness,chemistry
harmonic,physics
hat,mathematics
hbf,chemistry
hbr,chemistry
hca,physics
hcho,chemistry
hci,chemistry
hcl,chemistry
hcn,chemistry
hco,chemistry
hconme,chemistry
hcp,physics
head,mathematics
heard,physics
heat,physics
heater,physics
heating,chemistry
heavier,physics
heavy,physics
height,physics
helium,physics
help,physics
hemiacetal,chemistry
hemisphere,physics
henry,chemistry
heteroatoms,chemistry
hex,chemistry
hexacyanoferrate,chemistry
hexagon,physics
hexagonal,chemistry
hexane,chemistry
hexanone,chemistry
hg,chemistry
hg2,chemistry
hgo,chemistry
hgso,chemistry
higher,chemistry
hinge,physics
hinsberg,chemistry
hit,mathematics
hno,chemistry
hno2,chemistry
hocl,chemistry
hoff,chemistry
hoffmann,chemistry
hoh,chemistry
hold,mathematics
hole,physics
hollow,physics
homo,chemistry
hooke,physics
hoop,physics
horizontal,physics
hose,physics
hotel,mathematics
hour,physics
household,physics
hpo,chemistry
hso4,chemistry
human,chemistry
hund,chemistry
hybridisation,chemistry
hybridization,chemistry
hydrazine,chemistry
hydrazinium,chemistry
hydrazone,chemistry
hydride,chemistry
hydrocarbon,chemistry
hydrochloride,chemistry
hydrogen,physics
hydrogenation,chemistry
hydrolysis,chemistry
hydroxide,chemistry
hydroxy,chemistry
hydroxyacetanilide,chemistry
hydroxybenzoic,chemistry
hydroxybenzonitrile,chemistry
hydroxybromobenzene,chemistry
hydroxyl,chemistry
hydroxylamine,chemistry
hydroxymethyl,chemistry
hyperbola,mathematics
hyperbolic,physics
hyperconjugation,chemistry
hypochlorite,chemistry
hypochlorus,chemistry
hypotenuse,physics
iaf,physics
ibf,physics
ibl,physics
ibt,mathematics
ice,physics
icl,chemistry
icos,physics
ideal,physics
identification,chemistry
identify,physics
identity,mathematics
idose,chemistry
ignoring,physics
illumination,physics
imax,physics
immersion,physics
impact,physics
impedance,physics
implication,chemistry
implies,physics
impulse,physics
impure,chemistry
impurity,chemistry
incandescent,physics
incentre,mathematics
incidence,physics
incident,physics
incircle,mathematics
inclination,physics
incline,physics
incorrect,chemistry
increase,chemistry
indene,chemistry
index,physics
indicator,chemistry
induces,physics
inductance,physics
inductor,physics
inequality,mathematics
inert,physics
inertia,physics
infinite,physics
infinity,physics
influence,physics
information,chemistry
initial,chemistry
initially,physics
initiation,chemistry
initiator,chemistry
ink,mathematics
inner,physics
innermost,physics
input,chemistry
inradius,mathematics
inrads,physics
inscribed,mathematics
insect,physics
instance,mathematics
instant,physics
instantaneous,physics
instruction,chemistry
instrument,chemistry
insulating,physics
insulator,physics
integer,mathematics
integral,mathematics
intensity,physics
interaction,physics
intercept,mathematics
interface,physics
interference,physics
intermediate,chemistry
internal,physics
intersect,mathematics
intersection,mathematics
intersects,mathematics
interval,mathematics
inverse,mathematics
inversion,chemistry
invert,chemistry
inwards,physics
iodate,chemistry
iodide,chemistry
iodine,chemistry
iodoform,chemistry
ion,chemistry
ionisation,chemistry
ionization,chemistry
iron,chemistry
irrespective,chemistry
irreversible,chemistry
is1,physics
isin,mathematics
isobaric,chemistry
isobutyl,chemistry
isochoric,chemistry
isomer,chemistry
isomerism,chemistry
isosceles,physics
